 district , seniors , facilities , boarded , alighted 
 종로구 ,27958 ,119 ,28438316 ,27773183 
 중구 ,25055 ,89 ,24018645 ,23429405 
 용산구 ,39037 ,149 ,3183132 ,3099622 
 성동구 ,47720 ,245 ,7564852 ,7430807 
 광진구 ,54071 ,197 ,10673030 ,10414099 
 동대문구 ,64468 ,279 ,9902590 ,10152689 
 중랑구 ,74920 ,345 ,4289805 ,4361446 
 성북구 ,77475 ,329 ,5817596 ,5694502 
 강북구 ,66307 ,255 ,4991746 ,5034368 
 도봉구 ,66998 ,334 ,4444979 ,4736602 
 노원구 ,92040 ,457 ,13522801 ,13368401 
 은평구 ,89650 ,341 ,15847762 ,15868676 
 서대문구 ,55996 ,223 ,3824716 ,3830769 
 마포구 ,55914 ,239 ,11410432 ,11089247 
 양천구 ,72393 ,349 ,3675237 ,3702833 
 강서구 ,97128 ,426 ,7443092 ,7356808 
 구로구 ,75890 ,338 ,7330752 ,7253673 
 금천구 ,42928 ,162 ,855288 ,796732 
 영등포구 ,64810 ,322 ,8348448 ,8323320 
 동작구 ,68231 ,252 ,14501514 ,14473034 
 관악구 ,82447 ,273 ,5859700 ,5781427 
 서초구 ,62347 ,206 ,12243180 ,11738473 
 강남구 ,81715 ,283 ,15567403 ,14827608 
 송파구 ,103573 ,351 ,20952118 ,20559821 
 강동구 ,78340 ,284 ,12772979 ,12702636 
